Genero;Idade;Escolaridade;Trabalho;Reg_metrop;Cor;Reg_Urbano;Cart_assinada;Pobreza
Masculino;59;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;21;5;8;Metrop;Branco;Urbano;Nao;Nao
Masculino;59;2;9;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;58;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;56;2;9;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;55;2;5;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;27;7;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;47;2;2;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;33;7;7;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;55;5;3;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;33;3;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;42;5;10;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;53;4;11;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;53;7;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;35;7;4;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;58;2;8;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;27;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;53;7;9;Nao_Metrop;Branco;Urbano;Nao;Nao
Feminino;21;6;8;Nao_Metrop;Branco;Urbano;Nao;Nao
Masculino;19;2;1;Metrop;Branco;Urbano;Outros;Nao
Masculino;53;2;3;Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;45;2;2;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;33;2;7;Metrop;Branco;Urbano;Sim;Pobreza
Masculino;45;3;5;Metrop;Branco;Urbano;Sim;Pobreza
Feminino;40;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;40;5;9;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;34;5;2;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;48;2;2;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Masculino;63;5;2;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;35;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;30;7;8;Nao_Metrop;Branco;Urbano;Outros;Nao
Feminino;38;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;41;2;4;Nao_Metrop;Nao Branco;Urbano;Outros;Pobreza
Masculino;50;2;3;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;44;5;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;42;7;8;Metrop;Nao Branco;Urbano;Nao;Nao
Feminino;35;5;10;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;45;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;47;7;8;Metrop;Branco;Urbano;Outros;Nao
Feminino;38;7;9;Metrop;Branco;Urbano;Sim;Nao
Masculino;24;7;9;Metrop;Branco;Urbano;Outros;Nao
Masculino;54;7;7;Metrop;Branco;Urbano;Outros;Nao
Masculino;45;5;8;Metrop;Branco;Urbano;Outros;Nao
Feminino;45;7;8;Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;32;2;4;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;47;5;10;Metrop;Nao Branco;Urbano;Sim;Nao
Masculino;40;3;4;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;36;2;1;Nao_Metrop;Branco;Urbano;Nao;Pobreza
Feminino;36;2;11;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;19;2;3;Nao_Metrop;Nao Branco;Urbano;Nao;Pobreza
Masculino;37;2;7;Nao_Metrop;Nao Branco;Rural;Sim;Nao
Feminino;30;7;9;Nao_Metrop;Nao Branco;Rural;Outros;Nao
Feminino;38;7;9;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;21;5;4;Nao_Metrop;Nao Branco;Urbano;Sim;Pobreza
Feminino;26;5;9;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;26;4;6;Nao_Metrop;Branco;Urbano;Sim;Nao
Masculino;55;2;5;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;32;7;4;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;38;3;10;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;33;5;4;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;53;3;9;Nao_Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;48;7;9;Nao_Metrop;Branco;Urbano;Outros;Nao
Masculino;45;2;1;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;22;5;4;Nao_Metrop;Nao Branco;Urbano;Nao;Nao
Masculino;22;4;4;Nao_Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;62;5;9;Metrop;Nao Branco;Urbano;Outros;Nao
Feminino;32;5;4;Metrop;Nao Branco;Urbano;Sim;Nao
Feminino;37;5;8;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;45;5;3;Metrop;Nao Branco;Urbano;Outros;Nao
Masculino;57;2;4;Metrop;Branco;Urbano;Outros;Nao
